ID,Title,First_Name,Middle_Name,Other_Name,Last_Name,Maiden_Name,Servant,Servant_type,Age,Orig_Addr,Class,Survived,Survived_text,Boarded,Dest_Addr,Lifeboat,Body,latitude,longitude
'1','Master','Hudson','Trevor','','Allison','','0','','11mths','Montreal, Quebec, Canada','First','1','Survived','Southampton','Montreal, Quebec, Canada','11','',45.512303,-73.554431
'2','Miss','Alice','Catherine','','Cleaver','','1','Nurse','22','London, England','First','1','Survived','Southampton','Montreal, Quebec, Canada','11','',51.506325,-0.127144
'3','Miss','Helen','Loraine','','Allison','','0','','2','Montreal, Quebec, Canada','First','0','Died','Southampton','Montreal, Quebec, Canada','','',45.512303,-73.554431
'4','Mr.','Hudson','Joshua C.','','Allison','','0','','30','Montreal, Quebec, Canada','First','0','Died','Southampton','Montreal, Quebec, Canada','','135MB',45.512303,-73.554431
'5','Miss','Amelia','Mary','Mildred','Brown','','1','Cook','18','London, England','First','1','Survived','Southampton','Montreal, Quebec, Canada','11','',51.506325,-0.127144
'6','Mr.','George','','','Swane','','1','Chauffeur','Unknown','Montreal, Quebec, Canada','First','0','Died','Southampton','Montreal, Quebec, Canada','','',45.512303,-73.554431
'7','Mrs.','Bessie','Waldo','','Allison','Daniels','0','','25','Montreal, Quebec, Canada','First','0','Died','Southampton','Montreal, Quebec, Canada','','',45.512303,-73.554431
'8','Miss','Sarah','','','Daniels','','1','Maid','33','Montreal, Quebec, Canada','First','1','Survived','Southampton','Montreal, Quebec, Canada','8','',45.512303,-73.554431
'9','Mr.','Harry','','','Anderson','','0','','47','New York City, New York, USA','First','1','Survived','Southampton','New York City, New York, USA','3','',40.71455,-74.007124
'10','Miss','Kornelia','Theodosia','','Andrews','','0','','62','Hudson, New York, USA','First','1','Survived','Cherbourg','Hudson, New York, USA','10','',42.252826,-73.79143
'11','Mr.','Thomas','','','Andrews','','0','','39','Belfast, Ireland','First','0','Died','Belfast','New York City, New York, USA','','',54.595295,-5.934524
'12','Mrs.','Charlotte','Lane','','Appleton','Lamson','0','','53','New York City, New York, USA','First','1','Survived','Southampton','New York City, New York, USA','2','',40.71455,-74.007124
'13','Mr.','Ramon','','','Artagaveytia','','0','','71','Buenos Aires, Argentina','First','0','Died','Cherbourg','New York City, New York, USA','','22MB',-34.608521,-58.373539
'14','Colonel','John','Jacob','','Astor IV','','0','','47','New York City, New York, USA','First','0','Died','Cherbourg','New York City, New York, USA','','124MB',40.71455,-74.007124
'15','Mr.','Victor','','','Robbins','','1','Valet','42','New York City, New York, USA','First','0','Died','Cherbourg','New York City, New York, USA','','',40.71455,-74.007124
'16','Mrs.','Madeleine','Talmage','','Astor','Force','0','','18','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','4','',40.71455,-74.007124
'17','Miss','Rosalie','','','Bidois','','1','Maid','46','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','4','',40.71455,-74.007124
'18','Miss','Caroline','Louise','','Endres','','1','Nurse','39','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','4','',40.71455,-74.007124
'19','Mrs.','Léontine','Pauline','','Aubart','','0','','24','Paris, France','First','1','Survived','Cherbourg','New York City, New York, USA','9','',48.85693,2.3412
'20','Miss','Emma','','','Sägesser','','1','Maid','24','Paris, France','First','1','Survived','Cherbourg','New York City, New York, USA','9','',48.85693,2.3412
'21','Mr.','Algernon','Henry Wilson','','Barkworth','','0','','47','Hessle, East Yorkshire, England','First','1','Survived','Southampton','New York City, New York, USA','B','',53.93063,-1.207885
'22','Mr.','John','D.','','Baumann','','0','','60','New York City, New York, USA','First','0','Died','Cherbourg','New York City, New York, USA','','',40.71455,-74.007124
'23','Mr.','Quigg','Edmond','','Baxter','','0','','24','Montreal, Quebec, Canada','First','0','Died','Cherbourg','Montreal, Quebec, Canada','','',45.512303,-73.554431
'24','Mrs.','Hélène','','','Baxter','de Lanaudière-Chaput','0','','50','Montreal, Quebec, Canada','First','1','Survived','Cherbourg','Montreal, Quebec, Canada','6','',45.512303,-73.554431
'25','Mr.','Thomson','','','Beattie','','0','','36','Fergus, Ontario, Canada','First','0','Died','Southampton','Fergus, Ontario, Canada','A','331O',43.705441,-80.378143
'26','Mr.','Richard','Leonard','','Beckwith','','0','','37','New York City, New York, USA','First','1','Survived','Southampton','New York City, New York, USA','5','',40.71455,-74.007124
'27','Mrs.','Sallie','','','Beckwith','Monypeny','0','','46','New York City, New York, USA','First','1','Survived','Southampton','New York City, New York, USA','5','',40.71455,-74.007124
'28','Mr.','Karl','Howell','','Behr','','0','','26','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','5','',40.71455,-74.007124
'29','Mr.','Jakob','','','Birnbaum','','0','','24','Antwerp, Belgium','First','0','Died','Cherbourg','San Francisco, California, USA','','148MB',51.222085,4.39771
'30','Mr.','Dickinson','H.','Dick','Bishop','','0','','25','Dowagiac, Michigan, USA','First','1','Survived','Cherbourg','Dowagiac, Michigan, USA','7','',41.98373,-86.109569
'31','Mrs.','Helen','','','Bishop','Walton','0','','19','Dowagiac, Michigan, USA','First','1','Survived','Cherbourg','Dowagiac, Michigan, USA','7','',41.98373,-86.109569
'32','Mr.','Mauritz','Håkan','','Björnström-Steffanson','','0','','28','Stockholm, Sweden','First','1','Survived','Southampton','Washington, D.C., USA','D','',59.33228,18.06284
'33','Mr.','Stephen','Weart','','Blackwell','','0','','45','Trenton, New Jersey, USA','First','0','Died','Southampton','Trenton, New Jersey, USA','','',40.217875,-74.759404
'34','Mr.','Henry','','','Blank','','0','','39','Glen Ridge, New Jersey, USA','First','1','Survived','Cherbourg','Glen Ridge, New Jersey, USA','7','',40.79992,-74.204824
'35','Miss','Caroline','','','Bonnell','','0','','30','Youngstown, Ohio, USA','First','1','Survived','Southampton','Youngstown, Ohio, USA','8','',41.0981,-80.650789
'36','Miss','Elizabeth','','','Bonnell','','0','','61','Youngstown, Ohio, USA','First','1','Survived','Southampton','Youngstown, Ohio, USA','8','',41.0981,-80.650789
'37','Mr.','John','James','','Borebank','','0','','42','London, England','First','0','Died','Southampton','Toronto, Ontario, Canada','','',51.506325,-0.127144
'38','Miss','Elsie','Edith','','Bowerman','','0','','22','St. Leonards-on-Sea, East Sussex, England','First','1','Survived','Southampton','New York City, New York, USA','6','',50.855745,0.552515
'39','Mr.','John','Bertram','','Brady','','0','','41','Pomeroy, Washington, USA','First','0','Died','Southampton','Pomeroy, Washington, USA','','',46.47398,-117.589369
'40','Mr.','Emil','','','Brandeis','','0','','48','Omaha, Nebraska, USA','First','0','Died','Cherbourg','Omaha, Nebraska, USA','','208MB',41.260675,-95.940469
'41','Mr.','George','Andrew','alias George A. Brayton','Brereton','','0','','37','Los Angeles, California, USA','First','1','Survived','Southampton','Los Angeles, California, USA','9','',34.05349,-118.245319
'42','Dr.','Arthur','Jackson','','Brewe','','0','','45','Philadelphia, Pennsylvania, USA','First','0','Died','Cherbourg','Philadelphia, Pennsylvania, USA','','',39.95228,-75.162454
'43','Mrs.','Caroline','Lane','','Brown','Lamson','0','','59','Belmont, Massachusetts, USA','First','1','Survived','Southampton','Belmont, Massachusetts, USA','D','',42.396261,-71.177012
'44','Mrs.','Margaret','','','Brown','Tobin','0','','44','Denver, Colorado, USA','First','1','Survived','Cherbourg','Denver, Colorado, USA','6','',39.74001,-104.992259
'45','Mrs.','Emma','Eliza','','Bucknell','Ward','0','','59','Philadelphia, Pennsylvania, USA','First','1','Survived','Cherbourg','Philadelphia, Pennsylvania, USA','8','',39.95228,-75.162454
'46','Miss','Albina','','','Bazzani','','1','Maid','36','Philadelphia, Pennsylvania, USA','First','1','Survived','Cherbourg','Philadelphia, Pennsylvania, USA','8','',39.95228,-75.162454
'47','Major','Archibald','Willingham','','Butt','','0','','46','Washington, D.C., USA','First','0','Died','Southampton','Washington, D.C., USA','','',38.89037,-77.031959
'48','Mr.','Edward','Pennington','','Calderhead','','0','','42','New York City, New York, USA','First','1','Survived','Southampton','New York City, New York, USA','5','',40.71455,-74.007124
'49','Mrs.','Helen','Churchill','','Candee','Hungerford','0','','53','Washington, D.C., USA','First','1','Survived','Cherbourg','Washington, D.C., USA','6','',38.89037,-77.031959
'50','Mr.','Thomas','Drake Martinez','','Cardeza','','0','','36','Germantown, Pennsylvania, USA','First','1','Survived','Cherbourg','Germantown, Pennsylvania, USA','3','',40.043869,-75.180229
'51','Mr.','Gustave','J.','','Lesueur','','1','Valet','35','Germantown, Pennsylvania, USA','First','1','Survived','Cherbourg','Germantown, Pennsylvania, USA','3','',40.043869,-75.180229
'52','Mrs.','Charlotte','Wardle','','Cardeza','Drake','0','','58','Germantown, Pennsylvania, USA','First','1','Survived','Cherbourg','Germantown, Pennsylvania, USA','3','',40.043869,-75.180229
'53','Miss','Annie','Moore','','Ward','','1','Maid','38','Germantown, Pennsylvania, USA','First','1','Survived','Cherbourg','Germantown, Pennsylvania, USA','3','',40.043869,-75.180229
'54','Mr.','Frans','Olof','','Carlsson','','0','','33','New York City, New York, USA','First','0','Died','Southampton','New York City, New York, USA','','',40.71455,-74.007124
'55','Mr.','Francisco','M.','','Carrau','','0','','31','Montevideo, Uruguay','First','0','Died','Southampton','Montevideo, Uruguay','','',-34.880901,-56.16544
'56','Mr.','José','Pedro','','Carrau','','0','','17','Montevideo, Uruguay','First','0','Died','Southampton','Montevideo, Uruguay','','',-34.880901,-56.16544
'57','Master','William','Thornton','','Carter II','','0','','11','Bryn Mawr, Pennsylvania, USA','First','1','Survived','Southampton','Bryn Mawr, Pennsylvania, USA','4','',40.02099,-75.307759
'58','Miss','Lucile','Polk','','Carter','','0','','13','Bryn Mawr, Pennsylvania, USA','First','1','Survived','Southampton','Bryn Mawr, Pennsylvania, USA','4','',40.02099,-75.307759
'59','Mr.','William','Ernest','','Carter','','0','','36','Bryn Mawr, Pennsylvania, USA','First','1','Survived','Southampton','Bryn Mawr, Pennsylvania, USA','C','',40.02099,-75.307759
'60','Mr.','Alexander','','','Cairns','','1','Valet','28','Bryn Mawr, Pennsylvania, USA','First','0','Died','Southampton','Bryn Mawr, Pennsylvania, USA','','',40.02099,-75.307759
'61','Mr.','Charles','Augustus','','Aldworth','','1','Chauffeur','30','Bryn Mawr, Pennsylvania, USA','First','0','Died','Southampton','Bryn Mawr, Pennsylvania, USA','','',40.02099,-75.307759
'62','Mrs.','Lucile','','','Carter','Polk','0','','36','Bryn Mawr, Pennsylvania, USA','First','1','Survived','Southampton','Bryn Mawr, Pennsylvania, USA','4','',40.02099,-75.307759
'63','Miss','Auguste','','','Serreplan','','1','Maid','30','Bryn Mawr, Pennsylvania, USA','First','1','Survived','Southampton','Bryn Mawr, Pennsylvania, USA','4','',40.02099,-75.307759
'64','Mr.','Howard','Brown','','Case','','0','','49','Ascot, Berkshire, England','First','0','Died','Southampton','Rochester, New York, USA','','',51.410675,-0.673794
'65','Mrs.','Eleanor','Genevieve','','Cassebeer','Fosdick','0','','36','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','5','',40.71455,-74.007124
'66','Mr.','Tyrell','William','','Cavendish','','0','','36','London, England','First','0','Died','Southampton','New York City, New York, USA','','172MB',51.506325,-0.127144
'67','Mrs.','Julia','Florence','','Cavendish','Siegel','0','','25','London, England','First','1','Survived','Southampton','New York City, New York, USA','6','',51.506325,-0.127144
'68','Miss','Ellen','','Nellie','Barber','','1','Maid','26','London, England','First','1','Survived','Southampton','New York City, New York, USA','6','',51.506325,-0.127144
'69','Mr.','Hubert','Fuller','','Chaffee','','0','','46','Amenia, New York, USA','First','0','Died','Southampton','Amenia, New York, USA','','',41.84954,-73.556819
'70','Mrs.','Carrie','Constance','','Chaffee','Toogood','0','','47','Amenia, New York, USA','First','1','Survived','Southampton','Amenia, New York, USA','4','',41.84954,-73.556819
'71','Mr.','Norman','Campbell','','Chambers','','0','','27','New York City, New York, USA','First','1','Survived','Southampton','New York City, New York, USA','5','',40.71455,-74.007124
'72','Mrs.','Bertha','','','Chambers','Griggs','0','','32','New York City, New York, USA','First','1','Survived','Southampton','New York City, New York, USA','5','',40.71455,-74.007124
'73','Miss','Gladys','','','Cherry','','0','','30','London, England','First','1','Survived','Southampton','Vancouver, British Columbia, Canada','8','',51.506325,-0.127144
'74','Mr.','Paul','Romaine Marie Léonce','','Chevré','','0','','45','Paris, France','First','1','Survived','Cherbourg','Ottawa, Ontario, Canada','7','',48.85693,2.3412
'75','Mrs.','Edith','Martha Bowerman','','Chibnall','Barber','0','','48','St. Leonards-on-Sea, East Sussex, England','First','1','Survived','Southampton','New York City, New York, USA','6','',50.855745,0.552515
'76','Mr.','Roderick','Robert Crispin','','Chisholm','','0','','40','Belfast, Ireland','First','0','Died','Belfast','New York City, New York, USA','','',54.595295,-5.934524
'77','Mr.','Walter','Miller','','Clark','','0','','27','Los Angeles, California, USA','First','0','Died','Cherbourg','Los Angeles, California, USA','','',34.05349,-118.245319
'78','Mrs.','Virginia','Estelle','','Clark','McDowell','0','','26','Los Angeles, California, USA','First','1','Survived','Cherbourg','Los Angeles, California, USA','4','',34.05349,-118.245319
'79','Mr.','George','Quincy','','Clifford','','0','','40','Stoughton, Massachusetts, USA','First','0','Died','Southampton','Stoughton, Massachusetts, USA','','',42.12598,-71.102135
'80','Mr.','Edward','Pomeroy','','Colley','','0','','37','Dublin, Ireland','First','0','Died','Southampton','Vancouver, British Columbia, Canada','','',53.34807,-6.248274
